veh_lat_rnd,veh_long_rnd,ons,offs
30.09,-97.82,4,3
30.1,-97.81,0,0
30.14,-97.8,0,3
30.15,-97.8,525,418
30.15,-97.74,29,107
30.15,-97.56,2,3
30.16,-97.8,29,17
30.16,-97.79,8890,8873
30.16,-97.75,5,3
30.16,-97.74,1065,905
30.17,-97.83,85,79
30.17,-97.82,562,694
30.17,-97.81,702,582
30.17,-97.8,1358,1300
30.17,-97.79,84,371
30.17,-97.75,262,237
30.17,-97.74,213,208
30.18,-97.9,1,1
30.18,-97.89,0,0
30.18,-97.84,309,341
30.18,-97.83,78,88
30.18,-97.82,1784,1676
30.18,-97.81,12,8
30.18,-97.8,260,258
30.18,-97.79,447,417
30.18,-97.78,28,29
30.18,-97.77,79,116
30.18,-97.76,507,428
30.18,-97.75,2006,1911
30.18,-97.74,76,52
30.18,-97.69,0,1
30.19,-97.9,0,1
30.19,-97.89,73,67
30.19,-97.84,46,23
30.19,-97.83,96,106
30.19,-97.82,390,345
30.19,-97.81,87,145
30.19,-97.79,375,289
30.19,-97.78,3726,4151
30.19,-97.77,10890,9878
30.19,-97.76,1281,1362
30.19,-97.75,3503,2753
30.19,-97.74,1589,2110
30.19,-97.73,195,145
30.19,-97.7,41,25
30.19,-97.69,0,4
30.2,-97.88,3,10
30.2,-97.87,21,19
30.2,-97.84,182,193
30.2,-97.83,94,92
30.2,-97.82,197,127
30.2,-97.81,2574,2247
30.2,-97.8,357,637
30.2,-97.79,4340,3944
30.2,-97.78,2038,2098
30.2,-97.77,407,455
30.2,-97.76,309,418
30.2,-97.75,2193,1991
30.2,-97.72,28,42
30.2,-97.71,224,262
30.2,-97.69,163,122
30.2,-97.67,1648,1357
30.2,-97.66,0,2
30.2,-97.65,366,239
30.2,-97.64,1646,1314
30.21,-97.87,1,6
30.21,-97.86,21,21
30.21,-97.85,82,88
30.21,-97.84,103,51
30.21,-97.83,556,609
30.21,-97.82,582,475
30.21,-97.81,370,484
30.21,-97.8,1700,1750
30.21,-97.79,302,323
30.21,-97.78,3264,3173
30.21,-97.77,1050,778
30.21,-97.76,0,0
30.21,-97.75,1133,1212
30.21,-97.74,356,804
30.21,-97.73,147,171
30.21,-97.72,820,971
30.21,-97.71,89,89
30.21,-97.69,390,354
30.21,-97.67,0,0
30.21,-97.66,251,273
30.21,-97.65,215,109
30.21,-97.64,121,178
30.22,-97.87,2,10
30.22,-97.86,82,87
30.22,-97.85,304,329
30.22,-97.84,41,39
30.22,-97.81,320,296
30.22,-97.8,1614,1416
30.22,-97.79,240,245
30.22,-97.78,121,85
30.22,-97.77,11364,11493
30.22,-97.76,2771,2844
30.22,-97.75,433,334
30.22,-97.74,6819,6165
30.22,-97.72,254,294
30.22,-97.71,999,948
30.22,-97.7,724,1205
30.22,-97.69,867,831
30.22,-97.67,5,6
30.22,-97.66,7,6
30.23,-97.89,0,0
30.23,-97.88,434,490
30.23,-97.87,61,60
30.23,-97.86,917,767
30.23,-97.85,5,2
30.23,-97.84,875,738
30.23,-97.83,23,19
30.23,-97.82,672,702
30.23,-97.81,9,63
30.23,-97.8,7293,7135
30.23,-97.79,4242,4207
30.23,-97.78,1458,1318
30.23,-97.77,2407,2160
30.23,-97.76,2865,2923
30.23,-97.75,153,110
30.23,-97.74,8621,8133
30.23,-97.73,15357,13653
30.23,-97.72,7193,6644
30.23,-97.71,5320,5481
30.23,-97.7,2483,1842
30.23,-97.69,185,177
30.24,-97.9,10,3
30.24,-97.89,5,10
30.24,-97.88,96,80
30.24,-97.86,1,3
30.24,-97.85,2,2
30.24,-97.84,138,253
30.24,-97.83,47,24
30.24,-97.82,0,0
30.24,-97.79,2196,2391
30.24,-97.78,1744,1691
30.24,-97.77,552,488
30.24,-97.76,6606,6378
30.24,-97.75,8221,8075
30.24,-97.74,1,1
30.24,-97.73,7720,7515
30.24,-97.72,14710,12717
30.24,-97.71,7544,6663
30.24,-97.7,7773,7235
30.24,-97.69,701,681
30.25,-97.89,72,69
30.25,-97.87,0,11
30.25,-97.86,24,2
30.25,-97.81,0,2
30.25,-97.78,1788,1809
30.25,-97.77,2687,2792
30.25,-97.76,2752,2801
30.25,-97.75,2785,2835
30.25,-97.74,663,756
30.25,-97.73,1689,1462
30.25,-97.72,149,152
30.25,-97.71,1827,1805
30.25,-97.7,191,199
30.25,-97.69,1122,1168
30.25,-97.68,0,1
30.26,-97.81,1501,1609
30.26,-97.79,517,465
30.26,-97.78,70,251
30.26,-97.76,2183,2037
30.26,-97.75,8218,8017
30.26,-97.74,4241,4465
30.26,-97.73,5510,5451
30.26,-97.72,3655,3573
30.26,-97.71,36945,36488
30.26,-97.7,1312,1078
30.26,-97.69,942,1098
30.26,-97.68,412,549
30.27,-97.81,5,13
30.27,-97.8,518,548
30.27,-97.78,205,53
30.27,-97.77,290,312
30.27,-97.76,1579,906
30.27,-97.75,48226,51650
30.27,-97.74,37862,35409
30.27,-97.73,1104,1322
30.27,-97.72,2808,2790
30.27,-97.71,2454,2110
30.27,-97.7,2414,2301
30.27,-97.69,3063,2807
30.27,-97.68,229,210
30.28,-97.78,597,684
30.28,-97.77,1930,1706
30.28,-97.76,637,1022
30.28,-97.75,878,772
30.28,-97.74,19817,22568
30.28,-97.73,14332,15991
30.28,-97.72,2282,2655
30.28,-97.71,3544,3428
30.28,-97.7,1337,1321
30.28,-97.69,1400,1449
30.28,-97.68,434,381
30.28,-97.67,848,823
30.28,-97.66,359,321
30.28,-97.65,0,1
30.28,-97.64,0,3
30.28,-97.63,1,8
30.28,-97.62,79,90
