veh_lat_rnd,veh_long_rnd,start_time_mo,start_time_dayofwk,rides_on,rides_off
29.32,-98.43,12,3,0,0
29.32,-98.43,12,5,0,0
29.33,-98.43,12,3,0,0
29.36,-98.45,12,2,34,35
29.36,-98.45,12,3,116,134
29.36,-98.45,12,5,43,46
29.43,-98.41,10,7,6,6
29.44,-98.38,9,1,2,4
29.44,-98.38,9,4,2,4
29.44,-98.38,9,5,6,3
29.44,-98.38,9,6,18,11
29.44,-98.38,10,2,3,7
29.44,-98.38,10,3,4,4
29.44,-98.38,11,1,2,2
29.44,-98.38,11,3,1,2
29.44,-98.38,11,6,3,2
29.45,-98.36,10,7,0,0
29.51,-98.4,11,6,4,4
29.57,-98.59,11,1,1,1
29.58,-98.32,11,1,0,0
29.63,-98.24,12,3,10,10
29.68,-98.16,12,3,0,0
29.73,-98.08,11,3,2,2
29.73,-98.08,12,2,3,3
29.73,-98.08,12,3,17,18
29.73,-98.08,12,5,1,1
29.73,-98.07,11,6,0,0
29.75,-98.06,12,2,7,5
29.8,-95.09,10,1,2,2
29.83,-97.99,9,5,4,4
29.83,-97.99,11,3,2,2
29.87,-97.94,10,3,2,2
29.89,-97.92,11,4,1,3
29.89,-97.91,10,5,7,2
29.89,-97.91,10,6,4,6
29.89,-97.91,11,4,2,2
29.9,-97.85,10,3,30,116
29.94,-97.88,12,5,62,40
29.98,-98.9,9,5,0,0
29.98,-98.9,10,3,6,11
29.98,-98.9,10,5,6,8
30.03,-97.85,12,5,4,4
30.04,-97.85,9,1,0,0
30.05,-99.03,9,5,2,1
30.05,-99.03,10,3,1,0
30.05,-97.84,1,4,4,4
30.05,-97.84,1,5,5,6
30.05,-97.84,12,1,0,0
30.05,-97.84,12,3,0,0
30.05,-97.84,12,4,4,4
30.05,-97.84,12,5,0,1
30.05,-97.84,12,6,2,1
30.05,-97.84,12,7,4,2
30.09,-97.82,1,2,1,1
30.09,-97.82,1,3,2,1
30.09,-97.82,1,5,0,0
30.09,-97.82,1,6,11,12
30.09,-97.82,8,3,4,3
30.09,-97.82,9,4,7,9
30.09,-97.82,9,5,1,0
30.09,-97.82,10,2,0,0
30.09,-97.82,11,3,1,0
30.09,-97.82,11,6,8,8
30.1,-97.81,8,4,0,0
30.1,-97.81,10,1,1,0
30.1,-97.81,12,6,1,1
30.13,-97.65,10,6,0,1
