veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
29.32,-98.43,0,0,0,0
29.33,-98.43,0,0,0,0
29.36,-98.45,193,215,193,215
29.43,-98.41,6,6,6,6
29.44,-98.38,41,39,41,39
29.45,-98.36,0,0,0,0
29.51,-98.4,4,4,4,4
29.57,-98.59,1,1,1,1
29.58,-98.32,0,0,0,0
29.63,-98.24,10,10,10,10
29.68,-98.16,0,0,0,0
29.73,-98.08,23,24,23,24
29.73,-98.07,0,0,0,0
29.75,-98.06,7,5,7,5
29.8,-95.09,2,2,2,2
29.83,-97.99,6,6,6,6
29.87,-97.94,2,2,2,2
29.89,-97.92,1,3,1,3
29.89,-97.91,13,10,13,10
29.9,-97.85,30,116,30,116
29.94,-97.88,62,40,62,40
29.98,-98.9,12,19,12,19
30.03,-97.85,4,4,4,4
30.04,-97.85,0,0,0,0
30.05,-99.03,3,1,3,1
30.05,-97.84,19,18,19,18
30.09,-97.82,35,34,35,34
30.1,-97.81,2,1,2,1
30.13,-97.65,3,4,3,4
30.13,-97.64,11537,9142,11537,9142
30.13,-97.63,1859,1597,1859,1597
30.14,-97.8,5,54,5,54
30.14,-97.79,4,6,4,6
30.14,-97.65,2122,2549,2122,2549
30.14,-97.64,9754,14706,9754,14706
30.14,-97.63,9717,8656,9717,8656
30.14,-97.62,4014,2499,4014,2499
30.15,-97.8,5039,4556,5039,4556
30.15,-97.79,5,6,5,6
30.15,-97.74,505,1502,505,1502
30.15,-97.64,31,48,31,48
30.15,-97.62,1,2,1,2
30.15,-97.56,2,3,2,3
30.16,-99.25,4,1,4,1
30.16,-97.8,285,152,285,152
30.16,-97.79,119970,120186,119970,120186
30.16,-97.75,78,73,78,73
30.16,-97.74,13085,10725,13085,10725
30.16,-97.69,1,1,1,1
30.16,-97.65,6,5,6,5
30.16,-97.64,81,88,81,88
30.17,-99.25,3,0,3,0
30.17,-97.83,931,909,931,909
30.17,-97.82,6972,8981,6972,8981
30.17,-97.81,8628,8048,8628,8048
30.17,-97.8,18083,16817,18083,16817
30.17,-97.79,1371,4759,1371,4759
30.17,-97.78,0,5,0,5
30.17,-97.75,1674,1593,1674,1593
30.17,-97.74,2389,2139,2389,2139
30.17,-97.65,1,1,1,1
30.17,-97.62,6,5,6,5
30.18,-97.9,10,12,10,12
30.18,-97.89,1,0,1,0
30.18,-97.84,4454,4306,4454,4306
30.18,-97.83,994,1138,994,1138
30.18,-97.82,24104,22057,24104,22057
30.18,-97.81,152,79,152,79
30.18,-97.8,3163,3278,3163,3278
30.18,-97.79,5956,5647,5956,5647
30.18,-97.78,429,509,429,509
30.18,-97.77,959,1178,959,1178
30.18,-97.76,5735,5632,5735,5632
30.18,-97.75,26450,25613,26450,25613
30.18,-97.74,1112,793,1112,793
30.18,-97.69,2,25,2,25
30.19,-99.33,1,0,1,0
30.19,-97.9,1,8,1,8
30.19,-97.89,1110,832,1110,832
30.19,-97.84,775,493,775,493
30.19,-97.83,1355,1290,1355,1290
30.19,-97.82,4596,4074,4596,4074
30.19,-97.81,1213,1908,1213,1908
30.19,-97.79,5000,4245,5000,4245
30.19,-97.78,49076,53592,49076,53592
30.19,-97.77,139722,128419,139722,128419
30.19,-97.76,16365,17622,16365,17622
30.19,-97.75,45404,36588,45404,36588
30.19,-97.74,21360,27794,21360,27794
30.19,-97.73,2992,2251,2992,2251
30.19,-97.71,175,174,175,174
30.19,-97.7,512,397,512,397
30.19,-97.69,4,13,4,13
30.19,-97.68,1,0,1,0
30.2,-98.11,4,3,4,3
30.2,-97.88,117,145,117,145
30.2,-97.87,471,305,471,305
30.2,-97.86,0,0,0,0
30.2,-97.85,2,2,2,2
30.2,-97.84,2538,2350,2538,2350
30.2,-97.83,1442,1196,1442,1196
30.2,-97.82,2515,1687,2515,1687
30.2,-97.81,32902,29167,32902,29167
30.2,-97.8,4597,7701,4597,7701
30.2,-97.79,55794,51603,55794,51603
30.2,-97.78,26043,27064,26043,27064
30.2,-97.77,5594,6067,5594,6067
30.2,-97.76,3991,4992,3991,4992
30.2,-97.75,25681,23899,25681,23899
30.2,-97.74,1,0,1,0
30.2,-97.73,0,1,0,1
30.2,-97.72,222,302,222,302
30.2,-97.71,2510,3126,2510,3126
30.2,-97.7,3,0,3,0
30.2,-97.69,2294,1990,2294,1990
30.2,-97.67,27566,23088,27566,23088
30.2,-97.66,0,5,0,5
30.2,-97.65,5724,4199,5724,4199
30.2,-97.64,22614,17460,22614,17460
30.2,-97.63,0,0,0,0
30.21,-99.39,1,0,1,0
30.21,-97.88,1,1,1,1
30.21,-97.87,64,98,64,98
30.21,-97.86,241,200,241,200
30.21,-97.85,1348,1290,1348,1290
30.21,-97.84,1397,700,1397,700
30.21,-97.83,6941,8064,6941,8064
30.21,-97.82,7750,5547,7750,5547
30.21,-97.81,4786,6517,4786,6517
30.21,-97.8,21126,21722,21126,21722
30.21,-97.79,3993,3770,3993,3770
30.21,-97.78,43128,42175,43128,42175
30.21,-97.77,14116,10841,14116,10841
30.21,-97.76,2,1,2,1
30.21,-97.75,13499,14902,13499,14902
30.21,-97.74,5445,9902,5445,9902
30.21,-97.73,1953,2377,1953,2377
30.21,-97.72,10389,10923,10389,10923
30.21,-97.71,1035,1345,1035,1345
30.21,-97.7,27,25,27,25
30.21,-97.69,4467,4544,4467,4544
30.21,-97.68,7,10,7,10
30.21,-97.67,31,75,31,75
30.21,-97.66,4080,4354,4080,4354
30.21,-97.65,760,413,760,413
30.21,-97.64,2898,4387,2898,4387
30.22,-97.87,34,193,34,193
30.22,-97.86,1159,1035,1159,1035
30.22,-97.85,3338,3908,3338,3908
30.22,-97.84,475,439,475,439
30.22,-97.82,1,1,1,1
30.22,-97.81,4289,4125,4289,4125
30.22,-97.8,21809,19369,21809,19369
30.22,-97.79,2696,2801,2696,2801
30.22,-97.78,1860,987,1860,987
30.22,-97.77,141211,143942,141211,143942
30.22,-97.76,36637,37832,36637,37832
30.22,-97.75,4391,3356,4391,3356
30.22,-97.74,86852,79645,86852,79645
30.22,-97.72,2632,2994,2632,2994
30.22,-97.71,12569,12058,12569,12058
30.22,-97.7,9646,15584,9646,15584
30.22,-97.69,10874,10638,10874,10638
30.22,-97.68,6,5,6,5
30.22,-97.67,236,231,236,231
30.22,-97.66,185,115,185,115
30.23,-97.94,0,0,0,0
30.23,-97.93,0,0,0,0
30.23,-97.89,1,3,1,3
30.23,-97.88,5550,6211,5550,6211
30.23,-97.87,796,725,796,725
30.23,-97.86,9302,8384,9302,8384
30.23,-97.85,47,21,47,21
30.23,-97.84,12182,10205,12182,10205
30.23,-97.83,340,271,340,271
30.23,-97.82,9425,10344,9425,10344
30.23,-97.81,204,722,204,722
30.23,-97.8,93462,92982,93462,92982
30.23,-97.79,53060,52927,53060,52927
30.23,-97.78,18484,16409,18484,16409
30.23,-97.77,27694,23827,27694,23827
30.23,-97.76,36293,36010,36293,36010
30.23,-97.75,1641,1282,1641,1282
30.23,-97.74,105824,102477,105824,102477
30.23,-97.73,195601,176449,195601,176449
30.23,-97.72,91686,84375,91686,84375
30.23,-97.71,75057,75386,75057,75386
30.23,-97.7,29635,22561,29635,22561
30.23,-97.69,1928,1832,1928,1832
30.24,-98.67,1,1,1,1
30.24,-97.9,150,68,150,68
30.24,-97.89,123,90,123,90
30.24,-97.88,1148,1096,1148,1096
30.24,-97.87,1,0,1,0
30.24,-97.86,59,83,59,83
30.24,-97.85,3,21,3,21
30.24,-97.84,2024,3838,2024,3838
30.24,-97.83,482,420,482,420
30.24,-97.82,2,7,2,7
30.24,-97.8,0,2,0,2
30.24,-97.79,27713,29783,27713,29783
30.24,-97.78,21397,21150,21397,21150
30.24,-97.77,7507,6863,7507,6863
30.24,-97.76,82021,79435,82021,79435
30.24,-97.75,102660,100912,102660,100912
30.24,-97.74,57,55,57,55
30.24,-97.73,103235,99371,103235,99371
30.24,-97.72,174108,156034,174108,156034
30.24,-97.71,82019,75335,82019,75335
30.24,-97.7,96368,92611,96368,92611
30.24,-97.69,8416,8540,8416,8540
30.25,-97.89,709,696,709,696
30.25,-97.87,12,147,12,147
30.25,-97.86,226,5,226,5
30.25,-97.81,2954,4703,2954,4703
30.25,-97.8,0,0,0,0
30.25,-97.78,21880,23077,21880,23077
30.25,-97.77,34041,35082,34041,35082
30.25,-97.76,34655,34570,34655,34570
30.25,-97.75,32485,32569,32485,32569
30.25,-97.74,9120,9756,9120,9756
30.25,-97.73,20989,18471,20989,18471
30.25,-97.72,1158,1294,1158,1294
30.25,-97.71,23593,22873,23593,22873
30.25,-97.7,1778,2018,1778,2018
30.25,-97.69,13068,13415,13068,13415
30.25,-97.68,4,24,4,24
30.26,-97.81,21167,22645,21167,22645
30.26,-97.8,8,8,8,8
30.26,-97.79,5414,4617,5414,4617
30.26,-97.78,737,2649,737,2649
30.26,-97.77,2,4,2,4
30.26,-97.76,35705,34856,35705,34856
30.26,-97.75,104007,104803,104007,104803
30.26,-97.74,57531,57138,57531,57138
30.26,-97.73,63068,65618,63068,65618
30.26,-97.72,41976,40908,41976,40908
