STOP_ID,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
"66",4925 Craigwood/FM 969,CRFMS,"004925",CRAIGWOOD,FM 969,AUSTIN,"78725",,Bus Stop,Nearside,Southeast,Active,30.28417090000,-97.65985415000,Capital Metro,2017-08-17
"252",200 Trinity/2nd,2TRS,"000200",TRINITY,2ND,AUSTIN,"78701",,Bus Stop,Mid-Block,Northeast,Active,30.26384210000,-97.74042677000,Capital Metro,2017-08-17
"462",851 Rutland/Park Village,S1,"000851",RUTLAND,PARK VILLAGE,AUSTIN,"78758",,Bus Stop,Mid-Block,Southeast,Active,30.36547000000,-97.69752000000,Capital Metro,2017-08-17
"466",8740 Lamar/Payton Gin,S1801,"008740",LAMAR,PAYTON GIN,AUSTIN,"78758",,Bus Stop,Mid-Block,Southwest,Active,30.35680916000,-97.70106551000,Capital Metro,2017-08-17
"467",8630 Lamar/Fairfield,S63,"008630",LAMAR,FAIRFIELD,AUSTIN,"78758",,Bus Stop,Farside,Southwest,Active,30.35529611000,-97.70312790000,Capital Metro,2017-08-17
"468",Lamar/Thurmond,S15,"008400",LAMAR,THURMOND,AUSTIN,"78758",,Bus Stop,Farside,Southwest,Active,30.35313912000,-97.70608203000,Capital Metro,2017-08-17
"469",8320 Lamar/Meadowlark,S62,"008320",LAMAR,MEADOWLARK,AUSTIN,"78758",,Bus Stop,Nearside,Northwest,Active,30.35225560000,-97.70729488000,Capital Metro,2017-08-17
"471",7720 Lamar/Stobaugh,S1911,"007720",LAMAR,STOBAUGH,AUSTIN,"78757",,Bus Stop,Mid-Block,Southwest,Active,30.34604000000,-97.71394000000,Capital Metro,2017-08-17
"472",7520 Lamar/Morrow,S11,"007520",LAMAR,MORROW,AUSTIN,"78757",,Bus Stop,Mid-Block,Southwest,Active,30.34313363000,-97.71565611000,Capital Metro,2017-08-17
"474",6814 Lamar/Justin,S56,"006814",LAMAR,JUSTIN,AUSTIN,"78757",,Bus Stop,Farside,Southwest,Active,30.33620568000,-97.72000833000,Capital Metro,2017-08-17
"475",6600 Lamar/Brentwood,S54,"006600",LAMAR,BRENTWOOD,AUSTIN,"78757",,Bus Stop,Nearside,Northwest,Active,30.33411003000,-97.72132254000,Capital Metro,2017-08-17
"476",6200 Lamar/Denson,S7,"006200",LAMAR,DENSON,AUSTIN,"78757",,Bus Stop,Nearside,Northwest,Active,30.33042504000,-97.72363629000,Capital Metro,2017-08-17
"480",5528 Lamar/Koenig,S48,"005528",LAMAR,KOENIG,AUSTIN,"78756",,Bus Stop,Mid-Block,Southwest,Active,30.32424886000,-97.72752964000,Capital Metro,2017-08-17
"482",5300 Lamar/North Loop,S6,"005300",LAMAR,NORTH LOOP,AUSTIN,"78756",,Bus Stop,Nearside,Northwest,Active,30.32130258000,-97.72939072000,Capital Metro,2017-08-17
"483",5106 Lamar/51st,S44,"005106",LAMAR,51ST,AUSTIN,"78756",,Bus Stop,Nearside,Northwest,Active,30.31904976000,-97.73080613000,Capital Metro,2017-08-17
"484",Triangle Station (SB),S1805,"004600",GUADALUPE,LAMAR,AUSTIN,"78751",,Rapid Station,Mid-Block,Southwest,Active,30.31463090000,-97.73252431000,Capital Metro,2017-08-17
"485",4500 Guadalupe/45th,200SB,"004500",GUADALUPE,45TH,AUSTIN,"78751",,Bus Stop,Nearside,Northwest,Active,30.31116300000,-97.73295788000,Capital Metro,2017-08-17
"486",Guadalupe/43rd Street,S39,"004300",GUADALUPE,43RD,AUSTIN,"78751",,Bus Stop,Nearside,Northwest,Active,30.30883127000,-97.73439524000,Capital Metro,2017-08-17
"487",Guadalupe/41st Street,S37,"004100",GUADALUPE,41ST,AUSTIN,"78751",,Bus Stop,Nearside,Northwest,Active,30.30670338000,-97.73575572000,Capital Metro,2017-08-17
"489",Guadalupe/Maiden,S1806,"003500",GUADALUPE,MAIDEN,AUSTIN,"78705",,Bus Stop,Nearside,Northwest,Active,30.30167414000,-97.73896028000,Capital Metro,2017-08-17
"490",Guadalupe/34th Street,S31,"003402",GUADALUPE,34TH,AUSTIN,"78705",,Bus Stop,Nearside,Northwest,Active,30.30045562000,-97.73970878000,Capital Metro,2017-08-17
"492",Guadalupe/30th Street,S27,"003000",GUADALUPE,30TH,AUSTIN,"78705",,Bus Stop,Nearside,Northwest,Active,30.29680363000,-97.74202809000,Capital Metro,2017-08-17
"494",Guadalupe/27th Street,S14,"002700",GUADALUPE,27TH,AUSTIN,"78705",,Bus Stop,Nearside,Northwest,Active,30.29219693000,-97.74130995000,Capital Metro,2017-08-17
"495",Guadalupe/26th Street,S2,"002600",GUADALUPE,26TH,AUSTIN,"78705",,Bus Stop,Nearside,Northwest,Active,30.29067306000,-97.74140804000,Capital Metro,2017-08-17
"497",UT West Mall Station (SB),S19,"002246",GUADALUPE,23RD,AUSTIN,"78705",,Rapid Station,Mid-Block,Southwest,Active,30.28606366000,-97.74181517000,Capital Metro,2017-08-17
"498",Guadalupe/W. 21st Street,S17,"002026",GUADALUPE,21ST,AUSTIN,"78705",,Bus Stop,Mid-Block,Southwest,Active,30.28338403000,-97.74208129000,Capital Metro,2017-08-17
"501",Guadalupe/16th Street,S292,"001600",GUADALUPE,16TH,AUSTIN,"78701",,Bus Stop,Nearside,Northwest,Active,30.27896216000,-97.74270752000,Capital Metro,2017-08-17
"506",11th/Congress,S297,"000100",11TH,CONGRESS,AUSTIN,"78701",,Bus Stop,Nearside,Southwest,Active,30.27269988000,-97.74137576000,Capital Metro,2017-08-17
"514",Congress/ 3rd Street,S302,"000300",CONGRESS,3RD,AUSTIN,"78701",,Bus Stop,Nearside,Northwest,Active,30.26540423000,-97.74395997000,Capital Metro,2017-08-17
"515",Congress/Cesar Chavez,149SB,"000100",CONGRESS,CESAR CHAVEZ,AUSTIN,"78701",,Bus Stop,Nearside,Northwest,Active,30.26355370000,-97.74462253000,Capital Metro,2017-08-17
"516",300 South Congress/Barton Spri,S1809,"000300",CONGRESS,BARTON SPRINGS,AUSTIN,"78704",,Bus Stop,Farside,Southwest,Active,30.25869960000,-97.74645933000,Capital Metro,2017-08-17
"517",612 Congress/Riverside,S1810,"000612",CONGRESS,RIVERSIDE,AUSTIN,"78704",,Bus Stop,Mid-Block,Southwest,Active,30.25538531000,-97.74768538000,Capital Metro,2017-08-17
"522",2020 Congress/Crockett,S310,"002020",CONGRESS,CROCKETT,AUSTIN,"78704",,Bus Stop,Nearside,Northwest,Active,30.24305764000,-97.75226256000,Capital Metro,2017-08-17
"524",2300 Congress/College,S313,"002300",CONGRESS,COLLEGE,AUSTIN,"78704",,Bus Stop,Farside,Southwest,Active,30.24033324000,-97.75290514000,Capital Metro,2017-08-17
"526",2622 Congress/Cumberland,S285,"002622",CONGRESS,CUMBERLAND,AUSTIN,"78704",,Bus Stop,Nearside,Northwest,Active,30.23569482000,-97.75637374000,Capital Metro,2017-08-17
"527",2918 Congress/La Vista,S318,"002918",CONGRESS,LA VISTA,AUSTIN,"78704",,Bus Stop,Nearside,Northwest,Active,30.23259000000,-97.75853000000,Capital Metro,2017-08-17
"528",3216 Congress/Frederick,S320,"003216",CONGRESS,FREDERICK,AUSTIN,"78704",,Bus Stop,Nearside,Northwest,Active,30.23044988000,-97.75986990000,Capital Metro,2017-08-17
"529",Congress/Pickle,S1813,"003630",CONGRESS,PICKLE,AUSTIN,"78704",,Bus Stop,Farside,Southwest,Active,30.22689556000,-97.76193455000,Capital Metro,2017-08-17
"531",4210 Congress/Radam,S321,"004210",CONGRESS,RADAM,AUSTIN,"78745",,Bus Stop,Mid-Block,Southwest,Active,30.22076229000,-97.76541218000,Capital Metro,2017-08-17
"532",4354 Congress/St Elmo,S289,"004354",CONGRESS,ST ELMO,AUSTIN,"78745",,Bus Stop,Nearside,Northwest,Active,30.21843669000,-97.76688494000,Capital Metro,2017-08-17
"543",4722 Congress/Sheraton,S1821,"004722",CONGRESS,SHERATON,AUSTIN,"78745",,Bus Stop,Mid-Block,Southwest,Active,30.21474847000,-97.76923202000,Capital Metro,2017-08-17
"545",5300 Congress/Ramble,S327,"005300",CONGRESS,RAMBLE,AUSTIN,"78745",,Bus Stop,Farside,Southwest,Active,30.20868505000,-97.77310811000,Capital Metro,2017-08-17
"546",5606 Congress/Sandra,S329,"005606",CONGRESS,SANDRA,AUSTIN,"78745",,Bus Stop,Nearside,Northwest,Active,30.20426326000,-97.77514131000,Capital Metro,2017-08-17
"548",6220 Congress/North Bluff,S1822,"006220",CONGRESS,NORTH BLUFF,AUSTIN,"78745",,Bus Stop,Nearside,Northwest,Active,30.19904087000,-97.77659452000,Capital Metro,2017-08-17
"550",115 William Cannon/Circle S,S1823,"000115",WILLIAM CANNON,CIRCLE S,AUSTIN,"78745",,Bus Stop,Nearside,Southwest,Active,30.19266283000,-97.77784114000,Capital Metro,2017-08-17
"551",409 William Cannon/Circle S,S1824,"000409",WILLIAM CANNON,CIRCLE S,AUSTIN,"78745",,Bus Stop,Mid-Block,Southeast,Active,30.19208226000,-97.77603682000,Capital Metro,2017-08-17
"552",601 William Cannon/Circle S,S332,"000601",WILLIAM CANNON,CIRCLE S,AUSTIN,"78745",,Bus Stop,Mid-Block,Southeast,Active,30.19138657000,-97.77352978000,Capital Metro,2017-08-17
"553",Nelms/Bluff Springs,S1825,"001600",NELMS,BLUFF SPRINGS,AUSTIN,"78744",,Bus Stop,Nearside,Southwest,Active,30.19273904000,-97.76532930000,Capital Metro,2017-08-17
"554",Bluff Springs/William Cannon,"426","006600",BLUFF SPRINGS,WILLIAM CANNON,AUSTIN,"78744",SOUTH,Bus Stop,Nearside,Northwest,Active,30.18942686000,-97.76787859000,Capital Metro,2017-08-17
"555",412 William Cannon/North Bluff,S1826,"000412",WILLIAM CANNON,NORTH BLUFF,AUSTIN,"78745",,Bus Stop,Mid-Block,Northwest,Active,30.19177278000,-97.77413853000,Capital Metro,2017-08-17
"556",110 William Cannon/Circle S,S1827,"000110",WILLIAM CANNON,CIRCLE S,AUSTIN,"78745",,Bus Stop,Farside,Northwest,Active,30.19297089000,-97.77795451000,Capital Metro,2017-08-17
"558",6319 Congress/Circle S,S333,"006319",CONGRESS,CIRCLE S,AUSTIN,"78745",,Bus Stop,Mid-Block,Northeast,Active,30.19739187000,-97.77690803000,Capital Metro,2017-08-17
"559",Little Texas Station (NB),S330,"005901",CONGRESS,LITTLE TEXAS,AUSTIN,"78745",,Rapid Station,Nearside,Southeast,Active,30.20214533000,-97.77551477000,Capital Metro,2017-08-17
"560",5405 Congress/Mockingbird,S328,"005405",CONGRESS,MOCKINGBIRD,AUSTIN,"78745",,Bus Stop,Nearside,Southeast,Active,30.20710733000,-97.77373290000,Capital Metro,2017-08-17
"565",4401 Congress/St Elmo,S1828,"004401",CONGRESS,ST ELMO,AUSTIN,"78745",,Bus Stop,Nearside,Southeast,Active,30.21737770000,-97.76725101000,Capital Metro,2017-08-17
"568",Congress/Alpine,S1831,"003500",CONGRESS,ALPINE,AUSTIN,"78704",,Bus Stop,Farside,Northeast,Active,30.22824773000,-97.76094296000,Capital Metro,2017-08-17
"569",3307 Congress/Woodward,S319,"003307",CONGRESS,WOODWARD,AUSTIN,"78704",,Bus Stop,Farside,Northeast,Active,30.23005522000,-97.75983746000,Capital Metro,2017-08-17
"571",2705 Congress/Cumberland,S316,"002705",CONGRESS,CUMBERLAND,AUSTIN,"78704",,Bus Stop,Nearside,Southeast,Active,30.23534693000,-97.75632993000,Capital Metro,2017-08-17
"573",2203 Congress/Live Oak,S311,"002203",CONGRESS,LIVE OAK,AUSTIN,"78704",,Bus Stop,Nearside,Southeast,Active,30.24168937000,-97.75242262000,Capital Metro,2017-08-17
"574",1901 Congress/Mary,S309S,"001901",CONGRESS,MARY,AUSTIN,"78704",,Bus Stop,Nearside,Southeast,Active,30.24502402000,-97.75121189000,Capital Metro,2017-08-17
"576",Congress/The Circle,S1833,"001221",CONGRESS,THE CIRCLE,AUSTIN,"78704",,Bus Stop,Mid-Block,Northeast,Active,30.25153144000,-97.74878917000,Capital Metro,2017-08-17
"577",611 Congress/Academy,S1834,"000611",CONGRESS,ACADEMY,AUSTIN,"78704",,Bus Stop,Mid-Block,Northeast,Active,30.25534046000,-97.74738952000,Capital Metro,2017-08-17
"578",101 Congress/2nd,122SE,"000101",CONGRESS,2ND,AUSTIN,"78701",,Bus Stop,Nearside,Southeast,Active,30.26417392000,-97.74409777000,Capital Metro,2017-08-17
"580",Congress/4th,S1838,"000323",CONGRESS,4TH,AUSTIN,"78701",,Bus Stop,Nearside,Southeast,Active,30.26605228000,-97.74339038000,Capital Metro,2017-08-17
"590",Lavaca/12th,S1943,"001100",LAVACA,12TH,AUSTIN,"78701",,Bus Stop,Nearside,Southeast,Active,30.27440792000,-97.74299518000,Capital Metro,2017-08-17
"591",Capitol Station (NB),S1944,"001200",LAVACA,13TH,AUSTIN,"78701",,Rapid Station,Nearside,Southeast,Active,30.27558669000,-97.74255760000,Capital Metro,2017-08-17
"593",Lavaca/15th,S1846,"001415",LAVACA,15TH,AUSTIN,"78701",,Bus Stop,Nearside,Southeast,Active,30.27738322000,-97.74189415000,Capital Metro,2017-08-17
"599",Guadalupe/Dean Keeton,S23,"002500",GUADALUPE,DEAN KEETON,AUSTIN,"78712",,Bus Stop,Nearside,Southeast,Active,30.28956584000,-97.74130293000,Capital Metro,2017-08-17
"602",Guadalupe/30th,S26,"002927",GUADALUPE,30TH,AUSTIN,"78705",,Bus Stop,Nearside,Southeast,Active,30.29639000000,-97.74203000000,Capital Metro,2017-08-17
"603",3101 Guadalupe/31st,S28,"003101",GUADALUPE,31ST,AUSTIN,"78705",,Bus Stop,Nearside,Southeast,Active,30.29778058000,-97.74115300000,Capital Metro,2017-08-17
"604",Guadalupe/34th,S30,"003300",GUADALUPE,34TH,AUSTIN,"78705",,Bus Stop,Nearside,Southeast,Active,30.30018070000,-97.73963692000,Capital Metro,2017-08-17
"605",Guadalupe/38th,S33,"003713",GUADALUPE,38TH,AUSTIN,"78705",,Bus Stop,Nearside,Southeast,Active,30.30252622000,-97.73815161000,Capital Metro,2017-08-17
"606",Hyde Park Station (NB),S35,"003901",GUADALUPE,39TH,AUSTIN,"78751",,Rapid Station,Farside,Northeast,Active,30.30441786000,-97.73694997000,Capital Metro,2017-08-17
"607",Guadalupe/41st,S36,"004031",GUADALUPE,41ST,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.30623354000,-97.73578712000,Capital Metro,2017-08-17
"608",Guadalupe/43rd,S38,"004227",GUADALUPE,43RD,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.30850000000,-97.73434000000,Capital Metro,2017-08-17
"609",4413 Guadalupe/45th,200NB,"004413",GUADALUPE,45TH,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.31073000000,-97.73293000000,Capital Metro,2017-08-17
"610",Triangle Station (NB),S41,"004701",GUADALUPE,46TH,AUSTIN,"78751",,Rapid Station,Mid-Block,Northeast,Active,30.31481615000,-97.73226373000,Capital Metro,2017-08-17
