"","veh_lat_rnd","veh_long_rnd","ons","offs","bus_lat_bin","bus_long_bin","bus_ride_grid_cell"
"1",30.14,-97.8,0,3,2,1,"2-1"
"2",30.15,-97.8,525,418,2,1,"2-1"
"3",30.15,-97.74,29,107,2,2,"2-2"
"4",30.15,-97.56,2,3,2,5,"2-5"
"5",30.16,-97.8,29,17,2,1,"2-1"
"6",30.16,-97.79,8890,8873,2,1,"2-1"
"7",30.16,-97.75,5,3,2,1,"2-1"
"8",30.16,-97.74,1065,905,2,2,"2-2"
"9",30.17,-97.8,1358,1300,2,1,"2-1"
"10",30.17,-97.79,84,371,2,1,"2-1"
"11",30.17,-97.75,262,237,2,1,"2-1"
"12",30.17,-97.74,213,208,2,2,"2-2"
"13",30.18,-97.8,260,258,2,1,"2-1"
"14",30.18,-97.79,447,417,2,1,"2-1"
"15",30.18,-97.78,28,29,2,1,"2-1"
"16",30.18,-97.77,79,116,2,1,"2-1"
"17",30.18,-97.76,507,428,2,1,"2-1"
"18",30.18,-97.75,2006,1911,2,1,"2-1"
"19",30.18,-97.74,76,52,2,2,"2-2"
"20",30.18,-97.69,0,1,2,2,"2-2"
"21",30.19,-97.79,375,289,2,1,"2-1"
"22",30.19,-97.78,3726,4151,2,1,"2-1"
"23",30.19,-97.77,10890,9878,2,1,"2-1"
"24",30.19,-97.76,1281,1362,2,1,"2-1"
"25",30.19,-97.75,3503,2753,2,1,"2-1"
"26",30.19,-97.74,1589,2110,2,2,"2-2"
"27",30.19,-97.73,195,145,2,2,"2-2"
"28",30.19,-97.7,41,25,2,2,"2-2"
"29",30.19,-97.69,0,4,2,2,"2-2"
"30",30.2,-97.8,357,637,2,1,"2-1"
"31",30.2,-97.79,4340,3944,2,1,"2-1"
"32",30.2,-97.78,2038,2098,2,1,"2-1"
"33",30.2,-97.77,407,455,2,1,"2-1"
"34",30.2,-97.76,309,418,2,1,"2-1"
"35",30.2,-97.75,2193,1991,2,1,"2-1"
"36",30.2,-97.72,28,42,2,2,"2-2"
"37",30.2,-97.71,224,262,2,2,"2-2"
"38",30.2,-97.69,163,122,2,2,"2-2"
"39",30.2,-97.67,1648,1357,2,3,"2-3"
"40",30.2,-97.66,0,2,2,3,"2-3"
"41",30.2,-97.65,366,239,2,3,"2-3"
"42",30.2,-97.64,1646,1314,2,3,"2-3"
"43",30.21,-97.8,1700,1750,2,1,"2-1"
"44",30.21,-97.79,302,323,2,1,"2-1"
"45",30.21,-97.78,3264,3173,2,1,"2-1"
"46",30.21,-97.77,1050,778,2,1,"2-1"
"47",30.21,-97.76,0,0,2,1,"2-1"
"48",30.21,-97.75,1133,1212,2,1,"2-1"
"49",30.21,-97.74,356,804,2,2,"2-2"
"50",30.21,-97.73,147,171,2,2,"2-2"
"51",30.21,-97.72,820,971,2,2,"2-2"
"52",30.21,-97.71,89,89,2,2,"2-2"
"53",30.21,-97.69,390,354,2,2,"2-2"
"54",30.21,-97.67,0,0,2,3,"2-3"
"55",30.21,-97.66,251,273,2,3,"2-3"
"56",30.21,-97.65,215,109,2,3,"2-3"
"57",30.21,-97.64,121,178,2,3,"2-3"
"58",30.22,-97.8,1614,1416,2,1,"2-1"
"59",30.22,-97.79,240,245,2,1,"2-1"
"60",30.22,-97.78,121,85,2,1,"2-1"
"61",30.22,-97.77,11364,11493,2,1,"2-1"
"62",30.22,-97.76,2771,2844,2,1,"2-1"
"63",30.22,-97.75,433,334,2,1,"2-1"
"64",30.22,-97.74,6819,6165,2,2,"2-2"
"65",30.22,-97.72,254,294,2,2,"2-2"
"66",30.22,-97.71,999,948,2,2,"2-2"
"67",30.22,-97.7,724,1205,2,2,"2-2"
"68",30.22,-97.69,867,831,2,2,"2-2"
"69",30.22,-97.67,5,6,2,3,"2-3"
"70",30.22,-97.66,7,6,2,3,"2-3"
"71",30.23,-97.8,7293,7135,2,1,"2-1"
"72",30.23,-97.79,4242,4207,2,1,"2-1"
"73",30.23,-97.78,1458,1318,2,1,"2-1"
"74",30.23,-97.77,2407,2160,2,1,"2-1"
"75",30.23,-97.76,2865,2923,2,1,"2-1"
"76",30.23,-97.75,153,110,2,1,"2-1"
"77",30.23,-97.74,8621,8133,2,2,"2-2"
"78",30.23,-97.73,15357,13653,2,2,"2-2"
"79",30.23,-97.72,7193,6644,2,2,"2-2"
"80",30.23,-97.71,5320,5481,2,2,"2-2"
"81",30.23,-97.7,2483,1842,2,2,"2-2"
"82",30.23,-97.69,185,177,2,2,"2-2"
"83",30.24,-97.79,2196,2391,3,1,"3-1"
"84",30.24,-97.78,1744,1691,3,1,"3-1"
"85",30.24,-97.77,552,488,3,1,"3-1"
"86",30.24,-97.76,6606,6378,3,1,"3-1"
"87",30.24,-97.75,8221,8075,3,1,"3-1"
"88",30.24,-97.74,1,1,3,2,"3-2"
"89",30.24,-97.73,7720,7515,3,2,"3-2"
"90",30.24,-97.72,14710,12717,3,2,"3-2"
"91",30.24,-97.71,7544,6663,3,2,"3-2"
"92",30.24,-97.7,7773,7235,3,2,"3-2"
"93",30.24,-97.69,701,681,3,2,"3-2"
"94",30.25,-97.78,1788,1809,3,1,"3-1"
"95",30.25,-97.77,2687,2792,3,1,"3-1"
"96",30.25,-97.76,2752,2801,3,1,"3-1"
"97",30.25,-97.75,2785,2835,3,1,"3-1"
"98",30.25,-97.74,663,756,3,2,"3-2"
"99",30.25,-97.73,1689,1462,3,2,"3-2"
"100",30.25,-97.72,149,152,3,2,"3-2"
"101",30.25,-97.71,1827,1805,3,2,"3-2"
"102",30.25,-97.7,191,199,3,2,"3-2"
"103",30.25,-97.69,1122,1168,3,2,"3-2"
"104",30.25,-97.68,0,1,3,3,"3-3"
"105",30.26,-97.79,517,465,3,1,"3-1"
"106",30.26,-97.78,70,251,3,1,"3-1"
"107",30.26,-97.76,2183,2037,3,1,"3-1"
"108",30.26,-97.75,8218,8017,3,1,"3-1"
"109",30.26,-97.74,4241,4465,3,2,"3-2"
"110",30.26,-97.73,5510,5451,3,2,"3-2"
"111",30.26,-97.72,3655,3573,3,2,"3-2"
"112",30.26,-97.71,36945,36488,3,2,"3-2"
"113",30.26,-97.7,1312,1078,3,2,"3-2"
"114",30.26,-97.69,942,1098,3,2,"3-2"
"115",30.26,-97.68,412,549,3,3,"3-3"
"116",30.27,-97.8,518,548,3,1,"3-1"
"117",30.27,-97.78,205,53,3,1,"3-1"
"118",30.27,-97.77,290,312,3,1,"3-1"
"119",30.27,-97.76,1579,906,3,1,"3-1"
"120",30.27,-97.75,48226,51650,3,1,"3-1"
"121",30.27,-97.74,37862,35409,3,2,"3-2"
"122",30.27,-97.73,1104,1322,3,2,"3-2"
"123",30.27,-97.72,2808,2790,3,2,"3-2"
