"","STOP_ID","STOP_NAME","STOP_ABBR","STREET_NMB","ON_STREET","AT_STREET","CITY","ZIP","BAY","STOP_TYPE","PLACEMENT","CORNER","STATUS","LATITUDE","LONGITUDE","SOURCE","SOURCEDATE","bus_lat_bin","bus_long_bin","bus_grid_cell"
"1",66,"4925 Craigwood/FM 969","CRFMS","004925","CRAIGWOOD","FM 969","AUSTIN",78725,"","Bus Stop","Nearside","Southeast","Active",30.2841709,-97.65985415,"Capital Metro","2017-08-17",3,3,"3-3"
"2",252,"200 Trinity/2nd","2TRS","000200","TRINITY","2ND","AUSTIN",78701,"","Bus Stop","Mid-Block","Northeast","Active",30.2638421,-97.74042677,"Capital Metro","2017-08-17",3,1,"3-1"
"3",462,"851 Rutland/Park Village","S1","000851","RUTLAND","PARK VILLAGE","AUSTIN",78758,"","Bus Stop","Mid-Block","Southeast","Active",30.36547,-97.69752,"Capital Metro","2017-08-17",4,2,"4-2"
"4",466,"8740 Lamar/Payton Gin","S1801","008740","LAMAR","PAYTON GIN","AUSTIN",78758,"","Bus Stop","Mid-Block","Southwest","Active",30.35680916,-97.70106551,"Capital Metro","2017-08-17",3,2,"3-2"
"5",467,"8630 Lamar/Fairfield","S63","008630","LAMAR","FAIRFIELD","AUSTIN",78758,"","Bus Stop","Farside","Southwest","Active",30.35529611,-97.7031279,"Capital Metro","2017-08-17",3,2,"3-2"
"6",468,"Lamar/Thurmond","S15","008400","LAMAR","THURMOND","AUSTIN",78758,"","Bus Stop","Farside","Southwest","Active",30.35313912,-97.70608203,"Capital Metro","2017-08-17",3,2,"3-2"
"7",469,"8320 Lamar/Meadowlark","S62","008320","LAMAR","MEADOWLARK","AUSTIN",78758,"","Bus Stop","Nearside","Northwest","Active",30.3522556,-97.70729488,"Capital Metro","2017-08-17",3,2,"3-2"
"8",471,"7720 Lamar/Stobaugh","S1911","007720","LAMAR","STOBAUGH","AUSTIN",78757,"","Bus Stop","Mid-Block","Southwest","Active",30.34604,-97.71394,"Capital Metro","2017-08-17",3,2,"3-2"
"9",472,"7520 Lamar/Morrow","S11","007520","LAMAR","MORROW","AUSTIN",78757,"","Bus Stop","Mid-Block","Southwest","Active",30.34313363,-97.71565611,"Capital Metro","2017-08-17",3,2,"3-2"
"10",474,"6814 Lamar/Justin","S56","006814","LAMAR","JUSTIN","AUSTIN",78757,"","Bus Stop","Farside","Southwest","Active",30.33620568,-97.72000833,"Capital Metro","2017-08-17",3,2,"3-2"
