"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"1",30.13,-97.78,30.16,-97.79,13,1631.18904507838,11342.6036926832,2,1,"2-1"
"2",30.13,-97.78,30.18,-97.77,24,1530.18095132315,11342.6036926832,2,1,"2-1"
"3",30.13,-97.64,30.22,-97.69,13,874.297252923602,16135.2865117037,2,2,"2-2"
"4",30.14,-97.79,30.27,-97.74,26,670.185417296239,6836.64325007409,3,2,"3-2"
"5",30.14,-97.77,30.27,-97.74,11,670.185417296239,10443.550001748,3,2,"3-2"
"6",30.14,-97.64,30.2,-97.67,13,3878.94046085171,12734.2616186388,2,3,"2-3"
"7",30.14,-97.64,30.21,-97.75,23,632.941578237148,12734.2616186388,2,1,"2-1"
"8",30.14,-97.64,30.21,-97.71,11,1369.03987313087,12734.2616186388,2,2,"2-2"
"9",30.14,-97.64,30.21,-97.66,11,1360.64616432129,12734.2616186388,2,3,"2-3"
"10",30.14,-97.64,30.22,-97.69,49,874.297252923602,12734.2616186388,2,2,"2-2"
"11",30.14,-97.63,30.22,-97.69,13,874.297252923602,11874.0251167941,2,2,"2-2"
"12",30.15,-97.79,30.16,-97.79,13,1631.18904507838,4424.90531224743,2,1,"2-1"
"13",30.15,-97.79,30.17,-97.79,31,1457.06223270922,4424.90531224743,2,1,"2-1"
"14",30.15,-97.79,30.24,-97.72,14,517.642578627015,4424.90531224743,3,2,"3-2"
"15",30.15,-97.79,30.27,-97.74,20,670.185417296239,4424.90531224743,3,2,"3-2"
"16",30.15,-97.77,30.16,-97.79,13,1631.18904507838,8330.21116354503,2,1,"2-1"
"17",30.15,-97.77,30.17,-97.79,10,1457.06223270922,8330.21116354503,2,1,"2-1"
"18",30.15,-97.75,30.27,-97.74,18,670.185417296239,3367.48232432507,3,2,"3-2"
"19",30.15,-97.74,30.17,-97.79,11,1457.06223270922,2244.25409166681,2,1,"2-1"
"20",30.15,-97.74,30.2,-97.67,16,3878.94046085171,2244.25409166681,2,3,"2-3"
"21",30.15,-97.74,30.23,-97.76,10,160.342237960925,2244.25409166681,2,1,"2-1"
"22",30.15,-97.74,30.26,-97.74,24,784.850728204676,2244.25409166681,3,2,"3-2"
"23",30.15,-97.74,30.27,-97.74,17,670.185417296239,2244.25409166681,3,2,"3-2"
"24",30.15,-97.64,30.21,-97.75,12,632.941578237148,9503.31738677415,2,1,"2-1"
"25",30.15,-97.64,30.22,-97.69,29,874.297252923602,9503.31738677415,2,2,"2-2"
"26",30.16,-97.79,30.13,-97.78,11,11342.6036926832,1631.18904507838,2,1,"2-1"
"27",30.16,-97.79,30.15,-97.79,11,4424.90531224743,1631.18904507838,2,1,"2-1"
"28",30.16,-97.79,30.15,-97.77,17,8330.21116354503,1631.18904507838,2,1,"2-1"
"29",30.16,-97.79,30.16,-97.79,16,1631.18904507838,1631.18904507838,2,1,"2-1"
"30",30.16,-97.79,30.16,-97.78,10,3830.78776938193,1631.18904507838,2,1,"2-1"
"31",30.16,-97.79,30.17,-97.78,44,3023.07098233708,1631.18904507838,2,1,"2-1"
"32",30.16,-97.79,30.18,-97.78,13,1927.74470809872,1631.18904507838,2,1,"2-1"
"33",30.16,-97.79,30.18,-97.77,25,1530.18095132315,1631.18904507838,2,1,"2-1"
"34",30.16,-97.79,30.19,-97.77,21,499.55325173355,1631.18904507838,2,1,"2-1"
"35",30.16,-97.79,30.2,-97.77,12,1032.03853426798,1631.18904507838,2,1,"2-1"
"36",30.16,-97.79,30.23,-97.77,14,832.411191452054,1631.18904507838,2,1,"2-1"
"37",30.16,-97.79,30.26,-97.74,12,784.850728204676,1631.18904507838,3,2,"3-2"
"38",30.16,-97.78,30.2,-97.67,13,3878.94046085171,3830.78776938193,2,3,"2-3"
"39",30.16,-97.78,30.26,-97.74,14,784.850728204676,3830.78776938193,3,2,"3-2"
"40",30.16,-97.78,30.27,-97.75,13,277.629227185794,3830.78776938193,3,1,"3-1"
"41",30.16,-97.78,30.27,-97.74,36,670.185417296239,3830.78776938193,3,2,"3-2"
"42",30.16,-97.75,30.16,-97.79,11,1631.18904507838,2234.96742890183,2,1,"2-1"
"43",30.16,-97.75,30.19,-97.77,12,499.55325173355,2234.96742890183,2,1,"2-1"
"44",30.16,-97.75,30.27,-97.74,14,670.185417296239,2234.96742890183,3,2,"3-2"
"45",30.16,-97.74,30.18,-97.76,11,500.036280725078,1372.74118027867,2,1,"2-1"
"46",30.16,-97.74,30.19,-97.77,10,499.55325173355,1372.74118027867,2,1,"2-1"
"47",30.16,-97.74,30.23,-97.77,13,832.411191452054,1372.74118027867,2,1,"2-1"
"48",30.16,-97.74,30.23,-97.74,22,650.234213785827,1372.74118027867,2,2,"2-2"
"49",30.16,-97.74,30.27,-97.74,18,670.185417296239,1372.74118027867,3,2,"3-2"
"50",30.16,-97.73,30.21,-97.75,28,632.941578237148,3730.90100756152,2,1,"2-1"
"51",30.16,-97.73,30.26,-97.74,10,784.850728204676,3730.90100756152,3,2,"3-2"
"52",30.16,-97.73,30.27,-97.74,16,670.185417296239,3730.90100756152,3,2,"3-2"
"53",30.16,-97.69,30.15,-97.65,12,11462.1868684168,13200.9054913654,2,3,"2-3"
